"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"CLHat",8.2601762025,0.00735267611272146,0.463178813383229,7.41040375,7.942105,8.24798,8.547575,9.24108525,3891,1.00064782447955,1,7.529766,8.24798,9.042404,0.0142150000000001,0.0100500000000001,0.00954000000000033,0.0110450000000002,0.0284399999999998,0.00519950931921801,3970,2806
"VHat",45.892659125,0.166842440065125,4.42297811424005,36.3931125,43.217275,46.02685,48.777425,54.35953,689,1.00533924462428,1,38.256925,46.02685,52.95981,0.5519,0.194800000000001,0.130600000000001,0.149750000000001,0.262449999999998,0.118024417720433,742,689
"kaHat",0.415435553,0.00198799444887288,0.0504311998831289,0.318267025,0.382427,0.415551,0.447805,0.516109775,622,1.00476828405478,1,0.3327539,0.415551,0.49969005,0.0047045,0.002362,0.0020365,0.001694,0.00269550000000002,0.00140636196455489,640,649
"sigma",0.173155495,0.000422513386564484,0.0156739322979237,0.144625925,0.162255,0.1724515,0.18350225,0.20604235,1358,1.00383094737342,1,0.1490608,0.1724515,0.2005544,0.000518500000000005,0.000369000000000008,0.000404000000000002,0.000511999999999999,0.000966499999999995,0.000298825423139941,1380,2357
"omega[1]",0.264494374,0.000825296560925347,0.0461083799533458,0.191265575,0.23195575,0.259147,0.29095675,0.3751274,3060,1.00130213382239,1,0.19939765,0.259147,0.34915565,0.0013285,0.001112,0.000922500000000021,0.00124650000000001,0.00394549999999999,0.000588276675009885,3228,3102
"omega[2]",0.292027874375,0.00389343568651674,0.0842876609269467,0.14363385,0.2334915,0.2838395,0.34239025,0.4776961,467,1.01211812494284,1,0.164627,0.2838395,0.44291135,0.005552,0.00397800000000001,0.00335849999999999,0.00372399999999998,0.0053135,0.00275478993245102,454,909
"omega[3]",0.265291117,0.0038698644911775,0.0798399013822289,0.1390897,0.20723225,0.255439,0.310717,0.451215225,451,1.01350483871107,1,0.1547773,0.255439,0.41162435,0.0033055,0.00329299999999999,0.00340799999999999,0.00441649999999999,0.00919,0.00273828469349985,423,906
"rho[1,2]",0.106184915583475,0.00966637121391349,0.294184902834625,-0.497643625,-0.0935626,0.1281055,0.3278355,0.603670225,916,1.00460512524634,1,-0.4127771,0.1281055,0.55189145,0.015513,0.0152918,0.0109355,0.00936599999999999,0.00661449999999997,0.00683731018264322,955,1362
"rho[1,3]",0.2037825333665,0.0165003190885126,0.39834715653599,-0.68916175,-0.056529275,0.2441205,0.504191,0.87458415,588,1.00998696088711,1,-0.53355445,0.2441205,0.81099305,0.028996,0.0206292,0.016269,0.0164325,0.0186935,0.0123318084119835,544,688
"rho[2,3]",0.17776951112775,0.0239920532015398,0.409899146603748,-0.73291985,-0.0863638,0.2355775,0.489916,0.814514325,294,1.02402707780668,1,-0.6082922,0.2355775,0.7524107,0.0488795,0.03191065,0.022377,0.0157945,0.010243,0.0169819244020566,303,533
