"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"CLHat",8.24612914,0.00797954804948467,0.464356398033621,7.36673825,7.9331125,8.230125,8.5404075,9.19942325,3387,0.999694505102166,1,7.5155305,8.230125,9.016041,0.0201950000000002,0.00882999999999967,0.00903999999999971,0.00990499999999983,0.0267299999999997,0.0056428785704608,3405,2611
"VHat",45.446394575,0.208631091282174,4.57331567227626,35.552405,42.81015,45.6553,48.3789,53.8731575,479,1.00393983177149,1,37.63531,45.6553,52.629125,0.739849999999997,0.239000000000001,0.17595,0.162299999999998,0.158749999999998,0.147614098220657,539,542
"kaHat",0.41086757175,0.00245321946274638,0.05182973097781,0.306114675,0.37764675,0.41276,0.445799,0.508554525,445,1.00525902777054,1,0.3235984,0.41276,0.49347965,0.0077335,0.00340500000000002,0.00192249999999999,0.002049,0.00270500000000001,0.00173582288580828,479,415
"sigma",0.17240424725,0.000440703107189157,0.0158848621549901,0.1441818,0.16158075,0.171186,0.18209625,0.207614,1245,1.00124939620466,1,0.14785385,0.171186,0.20066195,0.000567499999999999,0.000354499999999994,0.000495499999999996,0.000612000000000001,0.00121,0.000311694141304018,1299,2041
"omega[1]",0.265263714,0.00091940242126929,0.0479485982469213,0.18741095,0.2316105,0.259787,0.290608,0.3771385,2687,1.00105425720989,1,0.1983903,0.259787,0.35419585,0.00153149999999999,0.0008885,0.00101999999999999,0.001082,0.00461399999999998,0.000677209286261036,2885,2927
"omega[2]",0.2881574419,0.00351395258227316,0.0854652568778134,0.13784505,0.228967,0.2815085,0.337711,0.47651995,584,1.00621038965438,1,0.1624876,0.2815085,0.43647895,0.007211,0.003552,0.00315949999999998,0.00425,0.00654300000000002,0.00248596585477754,549,707
"omega[3]",0.266334410525,0.00314774189850517,0.0778884473953423,0.142466325,0.20942475,0.2560965,0.31441,0.44606715,606,1.00426200473554,1,0.1574066,0.2560965,0.4097266,0.002987,0.0024005,0.00339350000000002,0.004136,0.004243,0.0022268507894171,604,1390
"rho[1,2]",0.100767484545,0.0102497800522016,0.305337328521945,-0.52969495,-0.11080325,0.125536,0.33284325,0.6214258,872,1.00314625842328,1,-0.4399781,0.125536,0.55758565,0.021082,0.0150453,0.010368,0.00843999999999998,0.0126785,0.00725007239170188,918,1088
"rho[1,3]",0.203971819248725,0.0140265827516072,0.379356601501079,-0.6037487,-0.05255825,0.238926,0.49483475,0.84287925,737,1.00860104605107,1,-0.4798364,0.238926,0.76817975,0.022293,0.0196916,0.0125315,0.01506,0.0175235,0.00992224933954605,709,994
"rho[2,3]",0.176785519103,0.02095240886846,0.40438741189358,-0.7267425,-0.091331925,0.234568,0.48922375,0.81716605,368,1.01124284587258,1,-0.58135645,0.234568,0.74340655,0.0430595,0.02615445,0.025911,0.015789,0.030759,0.014827206442437,375,513
