"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"CL",10.0178515916667,0.00498484105413379,0.171111689141968,9.6761255,9.90614,10.02215,10.134025,10.33158,1174,0.998825239270623,1,9.730209,10.02215,10.27703,0.0230350000000001,0.00922999999999963,0.00495000000000001,0.00660000000000061,0.0252499999999998,0.00352725233535482,1216,786
"Q",15.4611450833333,0.0627983834891133,1.58253018518816,12.61821,14.358325,15.4275,16.50575,18.71709,620,1.00354300192484,1,12.915775,15.4275,18.105925,0.0699500000000004,0.0571999999999999,0.0764499999999995,0.10145,0.1716,0.0445848227514247,638,767
"V1",34.89810225,0.223151212846481,4.7326590626859,25.58776,31.804,35.14855,37.959625,43.7212075,446,1.01158732295734,1,26.619975,35.14855,42.42157,0.447950000000001,0.328399999999998,0.243649999999999,0.213849999999997,0.286449999999999,0.157894168714915,451,249
"V2",106.924590083333,0.222323478178904,7.20482582634028,93.1408775,102.21675,106.768,111.752,121.042725,1017,1.0018155049502,1,95.724705,106.768,119.2419,0.835149999999999,0.3065,0.305,0.292999999999999,0.277000000000001,0.157250119426322,1039,728
"ka",2.03854133333333,0.0152340038598118,0.347000199537582,1.40683675,1.804475,2.042155,2.2659475,2.7478035,516,1.01160353507394,1,1.472043,2.042155,2.6001615,0.027345,0.0202049999999999,0.01478,0.0137399999999999,0.041585,0.0107781288047805,465,303
"sigma",0.111819674,0.000377170098278145,0.012046731401856,0.0917000825,0.10333825,0.1108375,0.11878675,0.13849735,1002,0.999593657674551,1,0.09427913,0.1108375,0.1321765,0.000784350000000003,0.000542500000000001,0.0004095,0.000538000000000004,0.0012515,0.000274456463124107,1098,766
"alpha",0.000279895878333333,5.73225505744633e-07,1.70506429274792e-05,0.0002482665,0.00026824675,0.000279784,0.00029077775,0.00031360835,870,1.00506487298178,1,0.00025300385,0.000279784,0.0003080586,1.05649999999999e-06,1.10600000000001e-06,6.12000000000014e-07,9.66000000000004e-07,1.92249999999999e-06,4.05465335934778e-07,883,970
"mtt",119.154938333333,0.23305263691047,5.93504245016565,107.4891,115.153,119.025,123.0735,131.190025,634,1.00733664449671,1,109.8932,119.025,129.10955,1.239,0.360500000000002,0.232499999999995,0.244499999999995,0.439499999999995,0.164867268384007,654,816
"circ0",4.74646595833333,0.00595020022852849,0.152027186914762,4.45549975,4.6540925,4.73887,4.8447,5.047355,643,1.00606327954102,1,4.4992825,4.73887,5.000072,0.0152649999999999,0.00667499999999999,0.00523000000000007,0.00855000000000006,0.00957000000000008,0.00420930821707828,655,561
"gamma",0.18297234,0.000837337550997247,0.0201827217608891,0.146633425,0.1693445,0.1816145,0.1956695,0.224359625,571,1.00845915527886,1,0.15161415,0.1816145,0.21602745,0.00257700000000001,0.00087799999999999,0.000866000000000006,0.000847499999999987,0.0018295,0.000596092594583791,588,609
"sigmaNeut",0.0833472895833333,0.000385682593483912,0.0124424614874619,0.062940575,0.074449575,0.0823573,0.090204925,0.111548625,1010,1.00268946406383,1,0.065685435,0.0823573,0.10545755,0.000905800000000002,0.000394399999999996,0.000482650000000001,0.000525999999999999,0.0022655,0.00027862107080772,1083,937
